id,place_category,name
269932132,음식점,봉피양 판교점
1697762645,음식점,차엔
1562060908,편의점,세븐일레븐 판교점
220677354,카페,그라츠커피랩 판교점
809385645,음식점,자연횟집 판교
282645126,음식점,뻘낙지한마당 판교점
21339034,카페,투썸플레이스 판교테크노밸리점
1489570574,편의점,GS25 판교H스퀘어점
46459173,카페,메가MGC커피 판교하이펙스점
1539239706,카페,컴포즈커피 삼환하이펙스점
17983069,편의점,CU 판교HIPEX점
17127061,카페,스타벅스 판교H스퀘어점
27459958,음식점,맥도날드 판교테크노밸리점
18214074,카페,알레그리아 판교테크노밸리점
1961406004,음식점,이태리부대찌개 판교점
19155729,편의점,GS25 판교삼환점
17772351,음식점,빈티지1988
16184193,편의점,CU 판교H스퀘어2호점
18691204,카페,스타벅스 판교HIPEX점
18780412,음식점,베이징스토리
26805871,카페,그라비티
27106013,카페,나따오비까 판교점
27217633,음식점,조재벌식당
2132462022,음식점,차이펑
43391333,음식점,데이빗앤룰스 판교점
26466601,음식점,이야기둘
1937596748,카페,더노벰버라운지 판교디테라스점
1645929273,카페,스타벅스 판교유스페이스점
1362692872,편의점,이마트24 채널풀무원한화판교미래기술연구소점
18561415,음식점,토속상황삼계탕
1290027367,카페,카페바움 판교점
1478331951,편의점,GS25 판교본점
19660680,카페,공차 판교테크노밸리점
2132275481,편의점,CU 판교현무점
409216346,음식점,팔복판교
2098159186,숙박,판교 스테이
1761953431,음식점,슈퍼타이 판교테크노밸리점
1419078831,카페,메가MGC커피 판교테크노밸리점
1702979109,카페,아이스걸크림보이 판교점
9257412,편의점,CU 판교엠타워센터점
27311521,카페,더블유라운지
19336931,카페,할리스 동판교M타워점
27166167,편의점,세븐일레븐 판교다산점
139049740,편의점,이마트24 채널풀무원한화에어로스페이스점
21025190,음식점,울프스덴
26785774,음식점,스시쿤 판교
663836122,음식점,구우트
798065007,음식점,달빛어시장 판교점
1548136332,편의점,CU 판교스페이스점
1980848252,음식점,황제갈비 판교점
26924590,카페,빽다방 판교유스페이스점
1782830414,음식점,화포식당 판교점
1797985320,편의점,GS25 판교스페이스점
24164383,음식점,버거킹 판교유스페이스점
940581289,음식점,바스버거 판교테크노밸리점
26643008,음식점,풍천숯재벌장어
27582913,음식점,평가옥 판교점
27499657,편의점,GS25 NC소프트점(직원전용)
975400260,편의점,세븐일레븐 판교스타트업캠퍼스점
1359487834,편의점,CU 굿프렌즈마트점
1045365041,편의점,이마트24 채널풀무원NHN점
824353245,편의점,GS25 스낵24네오위즈점
106771056,음식점,진1926 판교점
96593433,음식점,일편닭심
979082513,편의점,GS25 판교타워점
26628252,음식점,라디오베이
1871386499,편의점,이마트24 스마트머쉬룸하우스점
1023798359,숙박,코트야드 바이메리어트 서울 판교
24829272,음식점,코트야드메리어트 서울판교 모모카페
445267825,카페,공차 판교역점
467608844,편의점,GS25 판교GB점
1366999935,카페,크레스타운 판교점
1970035485,편의점,이마트24 판교역점
859737359,음식점,람바다
1706984776,편의점,세븐일레븐 판교웰츠점
27076123,카페,스타벅스 판교역로점
27178420,음식점,이가네양꼬치 판교본점
15242648,문화시설,판교환경생태학습원
1610234898,카페,메가MGC커피 판교봇들마을점
2137856685,편의점,GS25 판교예미지점
968456940,음식점,우테이블
26797021,카페,이디야커피 판교중앙점
26797370,음식점,판교매일식당 판교본점
1092867118,카페,투썸플레이스 판교봇들마을점
903868249,음식점,스시가좋아서
196567502,편의점,이마트24 채널풀무원넥슨소풍점
19514269,음식점,붓처스컷 아브뉴프랑 판교점
1747475735,음식점,닥터로빈 시그니처 판교점
980937490,카페,카페로쥬
20175651,음식점,빕스 프리미어 판교점
1615267371,음식점,담솥 판교아브뉴프랑점
1298533381,카페,보노보노
882531039,카페,메이크어케이크 아브뉴프랑판교점
369744461,음식점,양재정육식당
1542844270,카페,카페스트레가
801984638,카페,타이거슈가 판교점
1165457187,카페,이디야커피 판교봇들마을점
1481527240,음식점,스시선
1048838366,음식점,얼룩도야지
478111300,음식점,사쿠라테이엔 판교직영점
1927219507,음식점,감성타코 판교점
2141413165,편의점,이마트24 판교SG점
19729729,편의점,CU 판교역점
15253892,음식점,크래버 대게나라 판교점
27351405,음식점,동청담 삼평직영점
25547664,음식점,데조로의집
1465537638,음식점,양바위 본점
19925874,편의점,세븐일레븐 판교아브뉴프랑점
2055952433,음식점,인디테이블
749663083,음식점,후라토식당 아브뉴프랑판교
21800518,음식점,스시혼 판교본점
1284688158,음식점,돼지맨숀
21058760,카페,커피미학 판교점
1841364911,카페,스타벅스 판교아비뉴프랑R점
778451317,편의점,세븐일레븐 판교이노밸리점
1123116002,음식점,순우가
1118623772,숙박,하얏트 플레이스 서울 판교 (2025년 예정)
1321041282,음식점,비스트로바이콘
1379913602,음식점,왕스덕
1185151809,음식점,하림닭요리
1177594021,음식점,하이포크
359019271,문화시설,나폴레옹갤러리
570312962,카페,카페보나파르트
95132352,카페,카페엔바이콘 판교점
27499658,편의점,GS25 판교NS점
12149771,편의점,세븐일레븐 판교본점
1233698308,카페,바나타이거 판교봇들마을점
26801476,문화시설,화랑공원 야외공연장
1626998193,편의점,세븐일레븐 판교세븐벨리점
743101177,카페,블루보틀 판교 카페
1732222759,음식점,차알 판교점
46564381,음식점,자산어보 판교직영점
653909033,편의점,이마트24 R카카오본사점
367520064,편의점,CU 판교골드점
2015927992,카페,기욤 판교아브뉴프랑점
21657018,카페,세시셀라 아브뉴프랑점
1737095608,카페,투썸플레이스 판교알파돔점
1349313781,음식점,몽중헌 판교점
1632127271,카페,히즈빈스 판교와디즈점
1303358665,카페,알레그리아 판교테크원점
2103661220,음식점,양우정 판교점
1763923315,음식점,돈블랑 판교점
2053093290,카페,콜렉티보 판교테크원점
127079691,카페,펠트커피 카카오판교아지트
737486428,음식점,매드포갈릭 판교라스트리트점
1075919317,카페,판교크린타워 북카페
1891353975,편의점,GS25 판교삼평점
2033105876,편의점,CU 판교PDC점
1333857783,편의점,GS25 판교알파점
8373781,카페,투썸플레이스 판교만도점
130797373,카페,커스텀커피 동판교점
1922354355,편의점,GS25 S판교역점
895011028,카페,빈스버킷
21608198,음식점,맥도날드 동판교점
21296420,음식점,칭따오
27528340,카페,스타벅스 판교알파돔시티점
749228096,편의점,세븐일레븐 판교우림점
1294507468,카페,메가MGC커피 판교우림W시티점
1421111685,카페,오프
809050977,카페,블루샥 판교우림W시티점
578340122,카페,우지커피 판교우림W시티점
1940078288,카페,카페두레브
1705655041,카페,텐퍼센트커피 판교우림w시티점
1228192888,음식점,사위식당 판교점
22484458,음식점,삿뽀로 판교점
1876658997,음식점,제이스팟 알파돔타워
1360313152,카페,매머드커피 판교우림W시티점
1732093108,음식점,광화문국밥 판교점
22484388,음식점,경복궁 판교점
305417313,카페,세라젬웰카페 성남판교점
512465439,음식점,양평해장국
1358712012,카페,오마이커피 판교2호점
1731822411,음식점,본가광양불고기
26776001,편의점,CU 판교월드마크점
1330348639,카페,파츠커피
801150195,카페,255카페
1421266432,음식점,어글리스토브 판교라스트리트점
237526815,카페,커피코트 판교우림W-CITY점
18460612,카페,이디야커피 판교우림W시티점
17109752,편의점,CU 판교W시티점
1452199841,음식점,송추가마골 인어반 판교점
333989367,카페,우드진 판교우림W시티점
1572962342,카페,까치화방 판교점
976327217,음식점,신도세기 판교역점
1794225840,카페,이오오
838573276,편의점,GS25 판교봇들점
1807914706,카페,파이드파이퍼
1003710555,편의점,세븐일레븐 판교알파본점
998199500,음식점,써브웨이 판교브릿지타워점
365022639,카페,카모
327879494,편의점,이마트24 R판교알파돔점
1757208432,카페,빽다방 판교우림w시티점
1306112074,편의점,이마트24 R판교알파돔2호점
1174471186,음식점,쉐누하누
529308482,음식점,해우리 판교점
24346667,음식점,홀썸치킨 판교점
382618195,카페,스타벅스 판교알파돔타워
652267180,음식점,카츠쇼쿠도우 판교본점
1348211255,음식점,마키노차야 판교
714599503,카페,수수커피 판교알파돔타워점
